variable,mutual_info,model_importance,permutation_importance,p_value,effect_size,significant,test,combined_rank_score
rand_var_13,0.00016606924331563633,0.01352771910547125,-0.00043636363636362363,0.210879224124331,0.0053350110365621055,False,point-biserial correlation,0.5228758169934641
rand_var_24,0.0011011013737343145,0.012324335415844191,-0.0002999999999999892,0.9089425217857116,0.00048769698513231744,False,point-biserial correlation,0.5163398692810458
timing_variation_ms,0.0,0.016502514300319543,-0.0003909090909090862,0.6339159116494935,0.0020306633813136086,False,point-biserial correlation,0.49673202614379086
rand_var_19,0.0,0.012505854734822687,1.8181818181850495e-05,0.33655536257746155,0.004097766605747423,False,point-biserial correlation,0.46078431372549017
rand_var_34,0.0005664726449805535,0.013047781689124847,-0.0011818181818181507,0.9006217953176588,0.0005324847055485292,False,point-biserial correlation,0.45751633986928103
rand_var_14,0.0,0.013305916642603145,-0.0003636363636363549,0.6261234280198624,0.0020774316977994847,False,point-biserial correlation,0.4542483660130719
rand_var_4,0.0002729840432857955,0.011199754005514146,3.636363636362327e-05,0.7536043957294508,0.0013384623439722015,False,point-biserial correlation,0.45098039215686275
rand_var_5,0.0005408716844284012,0.011933392280986171,-0.0002454545454545487,0.8627799586517617,0.0007369938931384111,False,point-biserial correlation,0.4444444444444444
rand_var_38,0.0,0.015928852225103343,-0.0009090909090909039,0.24567531483284347,0.004950252464783423,False,point-biserial correlation,0.4281045751633987
rand_var_23,0.0,0.014084527197687127,-0.0009727272727272585,0.47468050427988584,0.00304833933697251,False,point-biserial correlation,0.40849673202614384
rand_var_10,0.0,0.01318424252646566,-0.0006454545454545379,0.8484728719936847,0.0008147320561443109,False,point-biserial correlation,0.369281045751634
rand_var_45,0.0,0.012393908176768026,-0.00019090909090908604,0.7858929496772683,0.0011583354508862091,False,point-biserial correlation,0.369281045751634
traffic_pattern,1.817666578862731e-06,0.0019513454534955932,-3.636363636361217e-05,0.9049255071187192,0.0019059967685375425,False,chi-square,0.36601307189542487
rand_var_8,0.000383775340277559,0.012191939654839917,-0.0008090909090909149,0.6238639504140863,0.0020910390694833716,False,point-biserial correlation,0.35294117647058826
rand_var_32,0.0,0.010495125002883736,5.454545454547377e-05,0.29450936930144367,0.004469962536314687,False,point-biserial correlation,0.3300653594771242
rand_var_40,0.0,0.010662874524850053,1.8181818181828292e-05,0.46177291746038324,0.0031380823319032644,False,point-biserial correlation,0.3169934640522876
rand_var_44,0.0,0.011870099038910124,-0.00015454545454545164,0.4705544161329057,0.0030768784783280077,False,point-biserial correlation,0.31699346405228757
rand_var_7,0.0,0.012277037341160889,-0.00037272727272725793,0.7879569503141767,0.001146894452399062,False,point-biserial correlation,0.3104575163398693
workload_type,3.5862221720264764e-05,0.002679828658214445,-0.00029090909090907503,0.41519696308707277,0.008455932013120422,False,chi-square,0.3006535947712418
rand_var_15,0.0,0.012496978755367285,-0.00046363636363636605,0.91519044285891,0.0004541020926952153,False,point-biserial correlation,0.2973856209150327
rand_var_42,0.0,0.01226776343259249,-0.0004090909090908923,0.5305604429708133,0.002674235651517131,False,point-biserial correlation,0.2777777777777778
rand_var_3,0.0,0.011461715311542017,-0.0002818181818181609,0.9955785067792614,2.3629778489854232e-05,False,point-biserial correlation,0.27124183006535946
jitter_ms,0.0,0.0112437560007293,-0.0002636363636363659,0.3125660780023417,0.004306102409549258,False,point-biserial correlation,0.27124183006535946
rand_var_28,0.0,0.011211126354098964,-0.0005818181818181833,0.918614761300848,0.00043570171404797096,False,point-biserial correlation,0.1797385620915033
