feature,importance,importance_pct
rand_var_27,0.009497338958475354,0.9
rand_var_3,0.009202249684069052,0.9
timeout_ms,0.003661995238151212,0.4
cpu_cores,0.0028883982253399493,0.3
batch_size,0.002776177672582261,0.3
cache_size_mb,0.0027587235949736015,0.3
retry_count,0.0027572399198186443,0.3
feature_flag_73,0.001158642463166234,0.1
feature_flag_37,0.0011461628244226316,0.1
cache_policy_Adaptive,0.0011228837014924,0.1
feature_flag_60,0.001105924082512848,0.1
feature_flag_89,0.0010854332326487796,0.1
feature_flag_75,0.001076177117514066,0.1
feature_flag_23,0.0010730253372791983,0.1
feature_flag_57,0.0010707747515002195,0.1
feature_flag_5,0.0010666730264673836,0.1
compiler_opt_level_O2,0.0010501731986819714,0.1
feature_flag_74,0.0010413794460862854,0.1
feature_flag_2,0.0010377372762516962,0.1
feature_flag_51,0.0010271444689390159,0.1
feature_flag_70,0.0010131793777319025,0.1
feature_flag_44,0.0010108236435251601,0.1
feature_flag_20,0.001009391336253717,0.1
node_region_ap-south,0.001007270967425377,0.1
feature_flag_52,0.0009993988730488234,0.1
feature_flag_61,0.0009969723826448963,0.1
feature_flag_8,0.0009935301169539227,0.1
feature_flag_43,0.0009885561552905994,0.1
feature_flag_80,0.0009873970209759975,0.1
compiler_opt_level_O3,0.0009799233063995196,0.1
feature_flag_41,0.000979535970346645,0.1
cache_policy_FIFO,0.0009792311924555284,0.1
feature_flag_49,0.0009777245871698311,0.1
feature_flag_4,0.0009723782547503358,0.1
feature_flag_76,0.000969810601295445,0.1
feature_flag_32,0.0009657194255523362,0.1
feature_flag_86,0.0009581958166858227,0.1
feature_flag_79,0.0009560078419850529,0.1
feature_flag_17,0.0009557326230600166,0.1
feature_flag_16,0.0009548932807077055,0.1
feature_flag_33,0.0009539647528428569,0.1
feature_flag_27,0.0009528968413493249,0.1
feature_flag_38,0.000951905704341178,0.1
feature_flag_28,0.0009445045160649856,0.1
feature_flag_82,0.0009427940067559187,0.1
feature_flag_35,0.0009395213404804314,0.1
workload_type_Random,0.0009387805728188739,0.1
workload_type_WriteHeavy,0.0009384674974522927,0.1
feature_flag_59,0.0009383932155325267,0.1
feature_flag_64,0.0009374203140789024,0.1
traffic_pattern_Spiky,0.000934801490858558,0.1
traffic_pattern_Burst,0.0009284064310244865,0.1
cache_policy_Static,0.0009280271821031766,0.1
feature_flag_67,0.0009250865251005905,0.1
feature_flag_12,0.0009195263661865719,0.1
feature_flag_72,0.0009178151520157105,0.1
gpu_enabled,0.000916262837410082,0.1
feature_flag_10,0.0009152575589517653,0.1
feature_flag_46,0.000914447499637177,0.1
feature_flag_34,0.0009132104237887779,0.1
feature_flag_24,0.0009122390364017547,0.1
scheduler_Static,0.0009118388160906377,0.1
workload_type_ReadHeavy,0.0009086087694862026,0.1
feature_flag_54,0.0009082789874946073,0.1
feature_flag_63,0.0009051104244864378,0.1
feature_flag_77,0.0009031164086632724,0.1
feature_flag_15,0.0009030225487738034,0.1
feature_flag_14,0.0009021464131725145,0.1
scheduler_Dynamic,0.0008997071831588789,0.1
feature_flag_1,0.0008989662821364949,0.1
feature_flag_58,0.0008977311603562709,0.1
feature_flag_13,0.0008952463107082713,0.1
workload_type_Mixed,0.0008949021101094145,0.1
traffic_pattern_Steady,0.0008913430478507039,0.1
feature_flag_85,0.0008891778036785813,0.1
feature_flag_55,0.0008874366315396085,0.1
feature_flag_69,0.0008855503415924244,0.1
feature_flag_78,0.0008779934088134149,0.1
feature_flag_18,0.0008769278880346301,0.1
node_region_us-west,0.0008762702779406452,0.1
feature_flag_40,0.0008754759353204758,0.1
feature_flag_83,0.000874511120021006,0.1
feature_flag_71,0.0008728805019891483,0.1
feature_flag_48,0.0008686385799301024,0.1
feature_flag_36,0.0008682660997513882,0.1
feature_flag_26,0.0008670024537290752,0.1
cache_policy_LRU,0.0008663319018743254,0.1
scheduler_RoundRobin,0.0008619851655189604,0.1
feature_flag_29,0.0008574994494518567,0.1
feature_flag_6,0.0008561964144480569,0.1
feature_flag_25,0.0008526777796619721,0.1
node_region_us-east,0.0008501829025383018,0.1
feature_flag_87,0.0008498867208758172,0.1
feature_flag_11,0.000839448378090825,0.1
feature_flag_65,0.000837633998644689,0.1
feature_flag_31,0.0008356544371104969,0.1
feature_flag_84,0.0008267285566225277,0.1
feature_flag_19,0.0008250829047446509,0.1
feature_flag_47,0.0008239675239117305,0.1
feature_flag_88,0.0008198252006205663,0.1
feature_flag_90,0.0008154981167655376,0.1
feature_flag_62,0.0008152051665199784,0.1
compiler_opt_level_O0,0.0008122607940805826,0.1
feature_flag_22,0.0008112266878944628,0.1
feature_flag_21,0.0008017833204663548,0.1
workload_type_Sequential,0.0007953723650461466,0.1
feature_flag_9,0.0007767779867216885,0.1
feature_flag_50,0.0007711851665688871,0.1
feature_flag_3,0.0007623815551617973,0.1
feature_flag_66,0.0007560853645432945,0.1
feature_flag_56,0.0007538084268865839,0.1
feature_flag_39,0.0007517722718486892,0.1
feature_flag_45,0.0007501098224702293,0.1
node_region_eu-central,0.0007437536123792944,0.1
feature_flag_42,0.0007396418965441175,0.1
feature_flag_68,0.000735023755213136,0.1
feature_flag_81,0.0007017588270039209,0.1
compiler_opt_level_O1,0.000684783695544628,0.1
feature_flag_53,0.0006241994155842195,0.1
feature_flag_30,0.0005972574013433115,0.1
